"ef1";"personengruppe";"ef3";"ef4";"region";"ef9";"ef10";"ef15";"ef16u1";"ef16u2";"ef17";"ef18";"ef19";"ef20";"ef21";"ef22";"ef23";"ef24";"ef25";"ef26";"ef27";"ef28";"ef29";"ef38";"ef40";"ef41";"ef42";"ef43";"ef44";"ef45";"ef47";"ef50";"ef53";"b52"
1;101;1;4;1;3;2;71;8;2;1;20;86;0;1510;0;0;391;271;360;18920;800;"11";6319.15;18;60;"4";3;848;18920;800;51.43;0;7258.88
1;101;5;4;1;3;1;32;1;7;1;38;160;0;2989;0;0;443;612;360;41662;2882;"30";6319.15;3;53;"7";3;1934;41662;2882;51.43;0;7258.88
1;101;2;4;1;3;1;32;1;1;2;38;160;0;2799;0;0;327;521;180;17022;990;"15";6319.15;6;28;"7";2;1951;34044;1980;25.71;0;7258.88
1;101;3;4;1;3;1;32;1;2;1;38;160;0;3132;0;0;474;630;360;43518;3238;"30";6319.15;4;54;"7";3;2028;43518;3238;51.43;0;7258.88
1;101;4;4;1;3;1;32;1;2;1;38;160;0;3368;0;0;237;661;360;44958;3199;"30";6319.15;4;55;"7";3;2470;44958;3199;51.43;0;7258.88
2;109;4;1;1;;2;62;8;7;5;5;10;0;95;0;0;0;0;360;1278;0;"2";4857.12;3;34;"5";3;95;1278;0;51.43;2.3;5602.92
2;101;1;1;1;2;2;12;1;2;1;40;173;0;2197;0;0;207;420;360;26824;460;"25";4857.12;13;44;"6";3;1570;26824;460;51.43;0;5602.92
2;109;3;1;1;;2;12;8;2;5;5;21;0;450;0;0;0;0;360;5400;0;"3";4857.12;20;51;"7";3;450;5400;0;51.43;4.83;5602.92
2;101;2;1;1;4;2;12;1;7;1;40;173;0;1795;0;0;327;343;360;21840;300;"25";4857.12;2;45;"9";3;1125;21840;300;51.43;0;5602.92
3;101;2;11;1;4;1;12;1;7;1;40;168;0;1932;0;0;169;403;360;23413;350;"24";2687.7;4;40;"9";3;1360;23413;350;51.43;0;3010.54
3;101;5;11;1;3;1;52;1;2;1;40;174;0;2506;0;0;85;528;360;30965;700;"26";2687.7;1;55;"8";3;1893;30965;700;51.43;0;3010.54
3;101;1;11;1;4;1;12;1;1;1;40;168;0;2512;0;0;94;509;360;30298;700;"30";2687.7;6;55;"6";2;1909;30298;700;51.43;0;3010.54
3;101;6;11;1;4;1;52;1;1;1;40;173;0;2156;0;0;230;451;360;28156;700;"25";2687.7;1;25;"8";2;1475;28156;700;51.43;0;3010.54
3;101;3;11;1;4;1;12;1;7;1;40;174;0;3401;0;0;455;622;360;37836;700;"22";2687.7;2;32;"9";3;2324;37836;700;51.43;0;3010.54
3;101;7;11;1;3;1;12;1;4;1;40;174;0;2380;0;0;313;482;360;26053;350;"25";2687.7;1;22;"9";6;1585;26053;350;51.43;0;3010.54
3;101;4;11;1;3;1;12;1;4;1;40;174;0;2855;0;0;408;586;360;32570;700;"25";2687.7;2;34;"9";4;1861;32570;700;51.43;0;3010.54
4;101;6;11;1;3;1;51;1;1;1;38;163;0;2649;0;0;354;507;270;26524;150;"20";2526.59;1;36;"4";2;1788;35365;200;38.57;0;2777.3
4;101;7;11;1;3;1;25;1;2;1;38;163;6;3575;147;502;467;631;360;42418;350;"24";2526.59;1;35;"3";3;2477;42418;350;51.43;0;2777.3
4;101;4;11;1;3;1;25;1;2;1;38;163;0;3115;0;6;471;657;360;39100;350;"24";2526.59;2;27;"3";3;1987;39100;350;51.43;0;2777.3
4;101;2;11;1;3;1;27;1;2;1;38;165;7;3785;161;0;672;777;270;35635;400;"24";2526.59;3;34;"7";3;2336;47513;533;38.57;0;2777.3
4;101;11;11;1;3;1;25;1;2;1;38;162;5;2945;90;454;275;481;360;33451;300;"24";2526.59;1;26;"3";3;2189;33451;300;51.43;0;2777.3
4;101;13;11;1;3;1;25;1;2;1;40;174;0;1672;0;0;190;350;270;13526;150;"20";2526.59;0;37;"8";3;1132;18035;200;38.57;0;2777.3
4;101;10;11;1;3;1;24;1;2;1;38;163;0;3156;0;349;376;568;360;36918;300;"24";2526.59;1;24;"7";3;2212;36918;300;51.43;0;2777.3
4;101;9;11;1;3;1;27;8;4;1;21;91;0;822;0;0;125;169;240;6726;150;"8";2526.59;0;37;"7";4;528;10089;225;34.29;0;2777.3
4;101;5;11;1;4;1;24;1;1;1;38;163;0;2850;0;0;153;578;360;34665;350;"24";2526.59;1;31;"7";2;2119;34665;350;51.43;0;2777.3
4;101;12;11;1;3;1;25;1;2;1;38;157;0;2066;0;0;192;406;274;21392;150;"20";2526.59;0;21;"3";3;1468;28106;197;39.14;0;2777.3
4;101;8;11;1;3;1;25;1;2;1;40;168;5;2971;87;462;302;519;360;38051;150;"24";2526.59;1;24;"3";3;2150;38051;150;51.43;0;2777.3
4;101;1;11;1;4;1;24;1;1;1;38;169;3;3857;79;476;261;692;360;41008;300;"24";2526.59;15;37;"7";2;2904;41008;300;51.43;0;2777.3
4;101;3;11;1;5;1;24;1;1;1;38;174;17;2816;252;446;61;499;360;31186;300;"24";2526.59;1;33;"7";2;2256;31186;300;51.43;0;2777.3
5;101;1;2;1;3;1;25;1;2;1;38;167;0;3437;0;355;422;591;360;40351;1872;"28";6481.23;13;41;"3";3;2424;40351;1872;51.43;0;6720.35
5;102;7;2;1;;2;71;0;3;3;38;165;0;742;0;0;0;155;360;10078;839;"24";6481.23;1;22;"4";3;587;10078;839;51.43;0;6720.35
5;101;3;2;1;4;1;25;1;2;1;38;175;0;2303;0;85;247;455;360;26961;1033;"25";6481.23;2;26;"8";3;1601;26961;1033;51.43;0;6720.35
5;101;5;2;1;2;1;27;1;7;1;38;165;0;3326;0;96;490;668;360;43545;2496;"29";6481.23;19;47;"3";3;2168;43545;2496;51.43;0;6720.35
5;101;6;2;1;2;1;27;8;4;1;30;130;0;4115;0;0;774;845;360;51030;2610;"25";6481.23;5;59;"1";6;2496;51030;2610;51.43;0;6720.35
5;101;2;2;1;4;1;25;1;1;1;38;175;0;2177;0;63;220;429;360;26272;1651;"29";6481.23;1;46;"8";3;1528;26272;1651;51.43;0;6720.35
5;101;4;2;1;5;2;51;1;1;1;38;175;0;2162;0;80;215;426;360;26508;1946;"30";6481.23;3;59;"9";2;1521;26508;1946;51.43;0;6720.35
6;102;3;4;1;;1;32;0;7;3;41;172;0;908;0;0;0;184;360;13659;318;"30";7057.71;2;21;"7";2;724;13659;318;51.43;0;7347.34
6;101;2;4;1;4;1;32;1;2;1;41;172;0;2635;0;0;381;540;360;33483;930;"30";7057.71;5;26;"9";3;1714;33483;930;51.43;0;7347.34
6;101;4;4;1;3;1;32;1;7;1;41;172;0;3256;0;0;561;668;360;41057;999;"30";7057.71;1;35;"9";3;2027;41057;999;51.43;0;7347.34
6;101;1;4;1;3;2;71;8;2;1;20;84;0;781;0;0;0;150;360;9709;0;"10";7057.71;11;49;"4";3;631;9709;0;51.43;0;7347.34
7;101;2;6;1;3;1;51;1;2;1;40;172;0;3361;0;0;112;571;360;33873;718;"33";2325.42;10;49;"7";3;2678;33873;718;51.43;0;2437.85
7;140;1;6;1;3;1;52;1;2;1;40;172;50;4578;1289;722;874;1040;360;53894;700;"30";2325.42;29;61;"3";3;2664;53894;700;51.43;0;2437.85
7;120;6;6;1;2;1;51;8;2;2;25;109;0;1438;0;0;254;132;360;16807;74;"16";2325.42;2;66;"7";6;1052;16807;74;51.43;0;2437.85
7;101;3;6;1;3;1;51;1;2;1;40;172;50;3772;758;545;356;886;360;44490;700;"30";2325.42;17;33;"7";3;2530;44490;700;51.43;0;2437.85
7;101;10;6;1;3;2;71;1;2;1;40;172;0;3015;0;0;422;628;360;34496;2997;"30";2325.42;8;27;"4";3;1965;34496;2997;51.43;0;2437.85
7;101;7;6;1;3;1;27;1;2;2;40;172;0;3406;0;0;264;704;360;41041;681;"28";2325.42;2;51;"4";3;2438;41041;681;51.43;0;2437.85
7;140;11;6;1;3;1;25;1;2;1;40;172;34;3209;508;273;521;682;360;40896;700;"30";2325.42;1;24;"7";3;2006;40896;700;51.43;0;2437.85
7;101;8;6;1;3;2;71;1;2;1;40;172;0;3590;0;0;576;744;360;41509;3572;"33";2325.42;24;45;"4";3;2270;41509;3572;51.43;0;2437.85
7;101;4;6;1;1;1;71;1;6;1;40;172;0;4659;0;0;821;916;360;40351;0;"33";2325.42;10;50;"1";7;2922;40351;0;51.43;0;2437.85
7;101;5;6;1;2;1;52;1;4;1;40;172;0;6505;0;0;1832;1150;360;84000;;"30";2325.42;8;30;"3";6;3523;84000;;51.43;0;2437.85
7;102;9;6;1;;1;51;0;3;3;40;172;0;955;0;0;0;196;360;9245;1185;"25";2325.42;1;21;"4";3;759;13145;1685;51.43;0;2437.85
7;140;12;6;1;3;1;51;1;2;1;40;172;38;3689;579;418;606;782;360;44713;700;"30";2325.42;3;56;"7";3;2301;44713;700;51.43;0;2437.85
7;102;13;6;1;;1;52;0;1;3;40;172;0;1017;0;0;0;211;360;11485;504;"25";2325.42;1;22;"3";2;806;11485;504;51.43;0;2437.85
8;101;7;2;1;3;1;71;1;2;2;40;174;0;3195;0;0;525;678;360;42420;3195;"30";3211.17;6;29;"3";3;1992;42420;3195;51.43;0;3315.1
8;101;4;2;1;3;1;27;1;2;1;40;174;0;2950;0;0;443;620;360;38750;3050;"30";3211.17;7;27;"3";3;1887;38750;3050;51.43;0;3315.1
8;101;6;2;1;3;2;41;1;2;2;40;174;0;2595;0;0;351;541;360;34606;2595;"30";3211.17;2;28;"8";3;1703;34606;2595;51.43;0;3315.1
8;101;8;2;1;4;1;41;1;2;1;40;174;0;2735;0;0;377;561;355;33990;2735;"30";3211.17;4;35;"8";3;1797;34469;2774;50.71;0;3315.1
8;101;5;2;1;3;1;41;1;2;1;40;174;0;3060;0;0;475;636;360;41280;4260;"30";3211.17;12;43;"8";3;1949;41280;4260;51.43;0;3315.1
8;101;1;2;1;4;1;41;1;2;1;40;174;0;2705;0;0;369;555;360;35270;2705;"30";3211.17;6;30;"8";3;1781;35270;2705;51.43;0;3315.1
8;101;9;2;1;3;2;71;8;2;2;30;130;0;2165;0;0;223;443;360;28100;2165;"30";3211.17;2;44;"4";3;1499;28100;2165;51.43;0;3315.1
8;101;2;2;1;4;1;51;1;1;1;40;174;0;2960;0;0;190;634;355;38934;2996;"30";3211.17;11;47;"4";2;2136;39482;3038;50.71;0;3315.1
8;810;3;2;1;1;2;27;8;4;1;30;130;0;4200;0;0;883;0;360;58565;8160;"30";3211.17;25;51;"3";4;3317;58565;8160;51.43;0;3315.1
8;101;10;2;1;2;1;41;1;4;1;40;174;0;4000;0;0;404;827;360;55303;7290;"30";3211.17;18;38;"8";4;2769;55303;7290;51.43;0;3315.1
9;109;1;9;1;;2;72;8;2;5;12;48;0;450;0;0;9;16;144;5400;0;"3";2618.34;13;50;"3";3;425;13500;0;20.57;11.05;3008.72
10;101;1;1;1;1;1;11;1;2;1;39;169;0;6221;0;0;929;1079;360;84000;;"30";1821.42;20;54;"6";3;4213;84000;;51.43;0;2101.09
10;101;2;1;1;3;1;11;1;2;1;39;169;0;3314;0;0;486;513;360;45065;0;"30";1821.42;12;46;"6";3;2315;45065;0;51.43;0;2101.09
11;101;2;8;1;3;2;71;8;3;2;16;70;0;1214;0;0;23;192;360;15489;1230;"15";2148.02;1;22;"4";3;999;15489;1230;51.43;0;2578.3
11;101;1;8;1;1;2;92;1;6;1;39;167;0;6163;0;0;1557;1120;360;70292;1508;"37";2148.02;5;43;"2";7;3486;70292;1508;51.43;0;2578.3
12;101;8;13;1;3;2;81;1;4;2;39;168;0;2991;0;0;441;651;265;34433;2572;"30";14222.54;6;33;"2";4;1899;46777;3494;37.86;0;15316.12
12;101;6;13;1;3;1;83;1;2;1;39;168;0;3099;0;0;470;675;360;39853;2665;"30";14222.54;10;33;"3";3;1954;39853;2665;51.43;0;15316.12
12;101;7;13;1;4;1;52;1;2;1;39;168;0;2319;0;0;52;485;353;28994;1770;"30";14222.54;7;56;"8";3;1782;29569;1805;50.43;0;15316.12
12;101;11;13;1;3;1;34;1;2;1;39;168;0;3667;0;0;633;763;300;39384;2714;"25";14222.54;0;52;"5";3;2271;47261;3257;42.86;0;15316.12
12;101;10;13;1;3;1;26;1;2;2;39;168;0;2695;0;0;366;573;360;34647;2312;"30";14222.54;1;28;"7";3;1756;34647;2312;51.43;0;15316.12
12;101;5;13;1;2;1;71;1;2;1;39;168;0;4315;0;0;486;931;360;55491;3711;"30";14222.54;15;63;"3";3;2898;55491;3711;51.43;0;15316.12
12;101;4;13;1;1;2;83;1;6;1;39;168;0;7000;0;0;30;16;240;56000;;"20";14222.54;17;65;"1";7;54;84000;;34.29;0;15316.12
12;101;3;13;1;3;1;83;1;2;1;39;168;0;3284;0;0;512;714;360;42222;2818;"30";14222.54;19;44;"3";3;2058;42222;2818;51.43;0;15316.12
12;101;1;13;1;3;1;73;1;2;1;39;168;0;3271;0;0;525;691;360;42055;2807;"30";14222.54;33;63;"4";3;2055;42055;2807;51.43;0;15316.12
12;101;2;13;1;3;2;83;1;2;1;39;168;0;3360;0;0;546;724;360;43210;2890;"30";14222.54;33;55;"3";3;2090;43210;2890;51.43;0;15316.12
12;101;9;13;1;2;2;83;1;4;1;39;168;0;3425;0;0;566;730;360;44046;2946;"30";14222.54;5;36;"3";4;2129;44046;2946;51.43;0;15316.12
13;109;11;8;1;;2;63;8;7;5;9;37;0;329;0;0;0;0;360;2858;0;"6";1745.07;0;18;"9";3;329;3948;0;51.43;8.52;1806.34
13;109;2;8;1;;1;63;8;7;5;6;28;0;280;0;0;0;0;360;3008;0;"5";1745.07;9;49;"5";2;280;3008;0;51.43;6.44;1806.34
13;109;4;8;1;;2;63;8;7;5;6;27;0;239;0;0;0;0;360;2681;0;"5";1745.07;4;24;"9";3;239;2681;0;51.43;6.21;1806.34
13;109;5;8;1;;1;63;8;7;5;7;31;0;270;0;0;0;0;90;418;0;"1";1745.07;4;22;"9";2;270;1672;0;12.86;7.13;1806.34
13;109;9;8;1;;2;63;8;7;5;4;19;0;170;0;0;0;7;360;2371;0;"4";1745.07;2;19;"9";2;163;2371;0;51.43;4.37;1806.34
13;109;6;8;1;;2;63;8;7;5;7;29;0;259;0;0;0;0;360;3627;0;"5";1745.07;3;24;"9";3;259;3627;0;51.43;6.67;1806.34
13;109;12;8;1;;2;63;8;7;5;5;22;0;192;0;0;0;0;300;1755;0;"3";1745.07;0;20;"9";2;192;2106;0;42.86;5.06;1806.34
13;109;7;8;1;;1;63;8;7;5;3;14;0;124;0;0;0;0;330;1167;0;"3";1745.07;3;20;"9";2;124;1273;0;47.14;3.22;1806.34
13;101;1;8;1;4;2;63;8;7;1;24;104;0;850;0;0;0;176;330;10129;779;"24";1745.07;0;25;"5";3;674;11050;850;47.14;0;1806.34
13;109;3;8;1;;2;63;8;7;5;3;12;0;108;0;0;0;0;330;1182;0;"2";1745.07;7;33;"9";3;108;1289;0;47.14;2.76;1806.34
13;109;8;8;1;;2;54;8;7;5;5;23;0;225;0;0;0;0;360;2893;0;"4";1745.07;2;30;"9";4;225;2893;0;51.43;5.29;1806.34
13;109;10;8;1;;2;63;8;7;5;10;43;0;500;0;0;0;0;360;2161;0;"7";1745.07;1;18;"9";2;500;6000;0;51.43;9.9;1806.34
14;101;1;10;1;3;2;71;8;2;1;25;109;0;1279;0;0;0;262;360;15348;0;"24";1623.19;23;55;"4";3;1017;15348;0;51.43;0;1818.86
15;101;1;15;1;3;2;82;8;2;1;32;139;0;1548;0;0;274;315;150;7742;0;"8";7287.03;13;50;"5";3;959;18581;0;21.43;0;8294.67
15;102;2;15;1;;2;82;0;1;3;25;109;0;262;0;0;0;47;150;1313;0;"30";7287.03;5;21;"5";2;215;3151;0;21.43;0;8294.67
16;101;4;2;1;5;2;54;8;7;2;30;130;0;1150;0;0;15;236;360;14539;700;"24";2664.99;2;33;"9";1;899;14539;700;51.43;0;2921.35
16;101;1;2;1;1;2;29;8;2;1;30;130;0;2200;0;0;501;456;360;26400;1600;"24";2664.99;2;58;"8";3;1243;26400;1600;51.43;0;2921.35
16;101;3;2;1;3;2;29;1;2;2;42;180;0;1700;0;0;128;349;360;20400;1300;"24";2664.99;2;26;"8";3;1223;20400;1300;51.43;0;2921.35
16;101;2;2;1;2;2;29;8;2;2;36;156;0;2200;0;0;238;455;360;31079;1400;"24";2664.99;2;45;"5";3;1507;31079;1400;51.43;0;2921.35
16;101;5;2;1;3;1;29;1;2;1;42;180;0;1725;0;0;132;361;300;20914;500;"20";2664.99;0;48;"8";3;1232;25097;600;42.86;0;2921.35
16;101;6;2;1;5;1;34;8;2;2;36;156;48;1820;420;0;156;368;284;16496;638;"20";2664.99;1;44;"5";3;1296;20910;809;40.57;0;2921.35
17;101;1;6;1;4;1;52;1;7;1;45;180;50;2468;596;0;300;505;360;29793;0;"24";6981.15;4;51;"8";3;1663;29793;0;51.43;0;8377.64
17;101;3;6;1;3;2;71;1;2;2;45;180;8;1962;90;0;1;414;285;21103;0;"16";6981.15;0;58;"4";3;1547;26656;0;40.71;0;8377.64
17;101;2;6;1;3;1;52;1;7;1;45;180;0;2478;0;0;306;507;360;30219;0;"28";6981.15;16;42;"8";3;1665;30219;0;51.43;0;8377.64
18;101;5;15;1;2;1;94;1;6;1;39;168;0;4376;0;0;476;829;360;58193;3833;"30";4164.02;21;50;"2";7;3071;58193;3833;51.43;0;4739.81
18;109;2;15;1;;2;54;8;7;5;5;22;0;308;0;0;0;0;360;4248;126;"4";4164.02;25;61;"9";2;308;4248;126;51.43;5.06;4739.81
18;101;7;15;1;5;2;12;8;1;2;38;165;0;2064;0;0;207;465;270;20683;1382;"23";4164.02;2;29;"9";2;1392;27577;1843;38.57;0;4739.81
18;101;1;15;1;5;2;54;8;7;1;16;70;0;929;0;0;0;207;360;12989;843;"9";4164.02;9;41;"9";3;722;12989;843;51.43;0;4739.81
18;101;3;15;1;3;1;12;1;2;1;38;165;0;2729;0;0;0;491;90;10481;647;"5";4164.02;22;47;"6";3;2238;41924;2588;12.86;0;4739.81
18;101;4;15;1;3;2;71;8;2;1;29;124;0;2455;0;0;392;381;360;32955;2151;"30";4164.02;20;58;"4";3;1682;32955;2151;51.43;0;4739.81
18;101;6;15;1;4;2;71;8;2;1;12;50;0;832;0;0;83;185;360;10781;701;"7";4164.02;7;32;"4";3;564;10781;701;51.43;0;4739.81
19;101;2;9;1;3;2;71;8;2;1;10;40;0;460;0;0;43;51;330;3858;0;"5";1309.17;9;40;"4";3;366;4209;0;47.14;0;1504.36
19;101;1;9;1;3;2;71;8;2;1;10;46;0;460;0;0;0;71;360;5520;0;"6";1309.17;1;37;"4";3;389;5520;0;51.43;0;1504.36
20;101;1;14;1;4;1;25;1;1;1;37;160;0;1514;0;74;63;296;300;14380;0;"24";1502.7;2;49;"7";2;1155;17256;0;42.86;0;1724.56
20;101;2;14;1;4;2;63;1;1;1;37;160;0;1649;0;209;63;292;254;13893;0;"24";1502.7;1;51;"5";2;1294;19691;0;36.29;0;1724.56
21;101;4;2;1;3;1;26;1;4;1;39;167;0;2479;0;0;291;475;240;20960;0;"27";3553.32;4;22;"7";4;1713;31440;0;34.29;0;3895.14
21;101;2;2;1;3;1;51;1;2;1;39;167;0;3207;0;0;478;654;360;39748;1000;"30";3553.32;16;48;"4";3;2075;39748;1000;51.43;0;3895.14
21;190;1;2;1;1;1;26;1;2;1;39;167;0;4266;0;0;524;0;360;59097;0;"30";3553.32;9;53;"8";6;3742;59097;0;51.43;0;3895.14
21;109;3;2;1;;1;54;8;1;5;5;22;0;240;0;0;0;0;360;2880;0;"5";3553.32;3;44;"9";2;240;2880;0;51.43;5.06;3895.14
22;101;2;5;1;1;2;81;8;6;1;25;108;0;2930;0;0;485;336;360;38369;2624;"20";6563.18;1;49;"2";7;2109;38369;2624;51.43;0;7426.76
22;106;1;5;1;5;1;62;8;7;1;0;25;0;460;0;0;0;94;360;5500;0;"5";6563.18;5;24;"5";7;366;5500;0;51.43;0;7426.76
22;101;3;5;1;2;2;81;8;2;1;20;87;0;1252;0;0;154;251;360;16383;1290;"18";6563.18;1;35;"3";3;847;16383;1290;51.43;0;7426.76
23;101;9;3;1;4;1;34;1;2;1;39;169;0;2870;0;23;150;597;360;39913;3594;"30";1359.66;22;55;"9";3;2123;39913;3594;51.43;0;1401.8
23;101;15;3;1;4;1;34;1;7;1;39;169;0;3310;0;0;244;695;360;45380;3887;"30";1359.66;13;36;"9";3;2371;45380;3887;51.43;0;1401.8
23;101;7;3;1;4;1;34;1;2;1;39;169;0;2873;0;0;407;622;360;39036;3519;"30";1359.66;27;59;"9";3;1844;39036;3519;51.43;0;1401.8
23;101;4;3;1;3;1;34;1;2;1;39;169;0;3374;0;0;255;716;360;45086;3839;"30";1359.66;29;53;"9";3;2403;45086;3839;51.43;0;1401.8
23;101;18;3;1;5;1;34;1;7;1;39;169;0;3545;0;29;281;760;360;44792;4413;"30";1359.66;7;31;"9";2;2504;44792;4413;51.43;0;1401.8
23;101;16;3;1;4;1;34;1;7;1;39;169;0;2967;0;0;433;636;360;41791;3903;"30";1359.66;11;33;"9";3;1898;41791;3903;51.43;0;1401.8
23;101;13;3;1;3;1;34;1;7;1;39;169;0;3089;0;0;435;618;360;40833;3496;"30";1359.66;15;38;"9";2;2036;40833;3496;51.43;0;1401.8
23;101;8;3;1;4;1;52;1;7;1;39;169;0;2904;0;25;157;605;360;40612;3638;"30";1359.66;27;51;"8";2;2142;40612;3638;51.43;0;1401.8
23;101;22;3;1;3;2;71;1;2;1;39;169;0;2704;0;0;300;581;360;37176;3257;"30";1359.66;5;47;"4";3;1823;37176;3257;51.43;0;1401.8
23;101;23;3;1;4;2;73;1;2;1;39;169;0;2469;0;0;307;523;360;33191;3046;"30";1359.66;5;38;"4";3;1639;33191;3046;51.43;0;1401.8
23;101;20;3;1;4;1;34;1;2;1;39;169;0;2687;0;0;364;563;360;36771;3393;"30";1359.66;6;55;"9";3;1760;36771;3393;51.43;0;1401.8
23;101;24;3;1;2;2;71;1;4;1;39;169;0;3823;0;0;678;811;360;50103;3492;"30";1359.66;4;31;"3";4;2334;50103;3492;51.43;0;1401.8
23;101;14;3;1;4;1;34;1;7;1;39;169;0;3288;0;0;252;691;360;45616;4727;"30";1359.66;14;46;"9";2;2345;45616;4727;51.43;0;1401.8
23;101;5;3;1;3;1;34;1;7;1;39;169;0;3297;0;41;511;684;359;45091;4031;"30";1359.66;29;49;"9";2;2102;45217;4042;51.29;0;1401.8
23;101;17;3;1;5;1;34;1;7;2;39;169;0;2645;0;0;351;560;360;36364;3226;"30";1359.66;7;49;"9";3;1734;36364;3226;51.43;0;1401.8
23;101;29;3;1;4;1;34;1;1;2;39;169;0;2301;0;0;262;485;360;33068;3176;"30";1359.66;1;21;"9";3;1554;33068;3176;51.43;0;1401.8
23;101;26;3;1;4;1;34;1;1;2;39;169;0;2615;0;38;336;544;360;36112;3530;"30";1359.66;3;38;"9";3;1735;36112;3530;51.43;0;1401.8
23;101;1;3;1;4;1;34;1;7;1;39;169;0;2719;0;0;337;432;165;20629;3423;"16";1359.66;37;59;"9";2;1950;45009;7468;23.57;0;1401.8
23;101;21;3;1;4;1;34;1;2;1;39;169;0;2914;0;0;402;595;226;25333;3387;"16";1359.66;6;33;"9";3;1917;40353;5395;32.29;0;1401.8
23;101;6;3;1;4;1;34;1;7;1;39;169;0;2954;0;0;434;620;360;39284;3622;"30";1359.66;31;57;"9";2;1900;39284;3622;51.43;0;1401.8
23;101;2;3;1;4;1;34;1;2;1;39;169;0;2917;0;0;424;612;360;40400;3675;"30";1359.66;25;63;"9";3;1881;40400;3675;51.43;0;1401.8
23;101;25;3;1;5;1;34;1;1;2;39;169;0;2540;0;18;320;534;360;34466;3403;"30";1359.66;3;51;"9";3;1686;34466;3403;51.43;0;1401.8
23;101;19;3;1;5;1;12;1;7;1;39;169;0;2945;0;19;402;595;360;39427;3655;"30";1359.66;6;49;"6";2;1948;39427;3655;51.43;0;1401.8
23;101;3;3;1;3;1;34;1;2;1;39;169;0;3655;0;0;302;761;360;48418;4036;"30";1359.66;30;50;"9";3;2592;48418;4036;51.43;0;1401.8
23;101;30;3;1;5;1;34;1;2;2;39;169;0;2533;0;62;310;532;300;24924;1533;"23";1359.66;0;30;"9";3;1691;29909;1840;42.86;0;1401.8
23;101;11;3;1;3;1;34;1;7;1;39;169;0;3688;0;0;339;781;360;55455;6453;"30";1359.66;19;51;"9";2;2568;55455;6453;51.43;0;1401.8
23;101;12;3;1;3;1;34;1;2;1;39;169;0;3126;0;0;478;663;360;38814;0;"30";1359.66;16;53;"9";3;1985;38814;0;51.43;0;1401.8
23;101;10;3;1;4;1;34;1;2;1;39;169;0;3718;0;68;625;767;360;45496;4208;"30";1359.66;21;50;"9";3;2326;45496;4208;51.43;0;1401.8
23;101;27;3;1;4;1;34;1;2;2;39;169;0;2507;0;0;312;546;360;34488;3244;"30";1359.66;2;28;"9";3;1649;34488;3244;51.43;0;1401.8
23;101;28;3;1;4;1;34;1;2;2;39;169;0;2555;0;0;330;535;360;34107;3236;"30";1359.66;1;35;"9";3;1690;34107;3236;51.43;0;1401.8
24;109;4;1;1;;2;71;8;2;5;7;28;0;416;0;0;0;0;360;4994;0;"5";702.94;8;61;"4";3;416;4994;0;51.43;6.44;741.99
24;101;6;1;1;3;1;11;1;7;1;45;180;0;2400;0;0;66;486;360;28800;0;"24";702.94;2;37;"6";3;1848;28800;0;51.43;0;741.99
24;110;12;1;1;4;1;11;8;7;2;0;60;0;552;0;0;0;0;52;3551;0;"2";702.94;0;21;"9";2;552;24584;0;7.43;0;741.99
24;109;7;1;1;;1;12;8;4;5;7;30;0;450;0;0;0;0;360;5400;0;"5";702.94;6;52;"6";4;450;5400;0;51.43;6.9;741.99
24;101;11;1;1;3;1;11;1;2;1;40;174;0;2730;0;0;402;575;360;31844;0;"24";702.94;1;58;"6";3;1753;31844;0;51.43;0;741.99
24;101;8;1;1;4;2;11;1;7;1;40;174;0;1645;0;0;114;337;360;19744;0;"24";702.94;3;25;"9";4;1194;19744;0;51.43;0;741.99
24;101;9;1;1;5;1;83;8;3;2;19;82;0;720;0;0;0;149;192;4608;0;"7";702.94;2;39;"9";6;571;8640;0;27.43;0;741.99
24;101;5;1;1;2;1;11;1;2;1;40;174;0;2662;0;0;115;539;360;31944;0;"24";702.94;8;36;"6";3;2008;31944;0;51.43;0;741.99
24;101;3;1;1;3;2;83;8;7;1;20;87;0;950;0;0;107;200;360;11400;0;"12";702.94;15;50;"5";4;643;11400;0;51.43;0;741.99
24;101;1;1;1;2;2;83;8;7;1;20;87;0;950;0;0;107;202;360;11400;0;"12";702.94;18;53;"5";3;641;11400;0;51.43;0;741.99
24;101;10;1;1;3;1;11;8;2;1;31;137;0;1227;0;0;154;248;105;8511;0;"7";702.94;1;40;"6";3;825;29181;0;15;0;741.99
24;101;2;1;1;3;2;83;8;4;1;15;65;0;900;0;0;0;189;360;10800;0;"10";702.94;21;65;"5";4;711;10800;0;51.43;0;741.99
25;101;10;3;1;2;1;71;1;4;1;39;170;0;3505;0;0;601;737;360;46798;4732;"30";2101.66;5;28;"4";4;2167;46798;4732;51.43;0;2152.8
25;101;11;3;1;3;2;71;1;4;2;39;170;0;2672;0;0;369;560;360;35676;3608;"30";2101.66;3;23;"4";4;1743;35676;3608;51.43;0;2152.8
25;101;1;3;1;2;2;71;1;2;1;39;169;0;3694;0;0;639;768;360;49317;4987;"30";2101.66;27;45;"3";6;2287;49317;4987;51.43;0;2152.8
25;101;9;3;1;2;2;71;1;2;1;39;170;0;3419;0;0;512;686;360;45644;4616;"30";2101.66;6;33;"4";3;2221;45644;4616;51.43;0;2152.8
